,countries,stance
0,AU,thorized
1,NZ/CL/PE/VN/BN/MY/SG/CA/MX,propose
2,US/JP,oppose
3,PE,none
4,NZ/CA/SG/CL/MY/VN,propose
5,NZ/CA/SG/CL/MY,propose
6,US,oppose
7,SG/BN/VN/PE/CL/CA/MY/NZ/US/AU/MX/JP,none
8,US/MY,propose
9,US,oppose
10,US,propose
11,US,oppose
12,US,oppose
13,US,propose
14,US,oppose
15,US,none
16,CL/PE,none
17,MX,propose
18,CA,propose
19,CL/NZ,propose
20,US/AU/JP/MX,oppose
21,CA,propose
22,MX/US,oppose
23,CL/NZ/VN/BN/MY/PE,none
24,US/AU,propose
25,CL/NZ/MY/PE/BN/VN/CA/JP/MX,oppose
26,MX,propose
27,US/AU/NZ/PE/CA/JP/SG/MX,propose
28,US/SG,propose
29,CL/MY/NZ/PE/VN/BN/CA/JP/MX,oppose
30,SG,oppose
31,NZ/BN/MY/CA/JP/SG/VN,oppose
32,NZ/VN/BN/MY/CL/PE/JP/SG,propose
33,US/AU,oppose
34,CL/AU/NZ/BN/PE,propose
35,VN,none
36,CL,none
37,US,none
38,PE/CL,none
39,VN,none
40,CL/NZ/VN/AU/BN/SG/PE/MY/MX/CA,propose
41,US/JP,oppose
42,PE,propose
43,CL/AU,oppose
44,NZ/AU/US/SG/MY/PE/VN/JP/MX,propose
45,US,none
46,VN,none
47,US,none
48,US,oppose
49,US/PE,oppose
50,US/PE,none
51,US/AU/NZ,none
52,AU,oppose
53,AU,none
54,US/AU/NZ,oppose
55,NZ/AU/SG/MY/CA/MX/CL,propose
56,VN/PE,oppose
57,AU/NZ,none
58,JP,oppose
59,US/MX,propose
60,BN,oppose
61,PE,oppose
62,US,propose
63,CL/NZ/PE/MY/BN/VN/CA/MX,oppose
64,CL/MY/NZ/VN/SG/BN/PE,propose
65,US/AU/JP/MX,oppose
66,CL/VN/PE,propose
67,CL,none
68,VN,none
69,CL/VN,propose
70,CL/VN,alternative
71,NZ/CL/SG/VN/MY/BN/MX,propose
72,NZ/CL/SG/BN/AU/MY/PE/VN/MX,propose
73,AU/US,oppose
74,AU/CA/JP/SG,none
75,PE/CA,oppose
76,JP/SG/PE,propose
77,AU,none
78,AU/CL/NZ/PE/SG/BN/MX/VN/MY/US/CA,propose
79,PE,propose
80,AU/NZ,oppose
81,AU/CL/MY/NZ/SG/PE/VN/CA/MX/BN/JP,propose
82,US/SG,propose
83,US,oppose
84,AU/CL/MY/NZ/SG/PE/VN/CA/MX/BN/JP,oppose
85,AU/CL/MY/NZ/SG/PE/VN/CA/MX/BN/JP,propose
86,JP,propose
87,CL/PE,oppose
88,CL/AU/MY/NZ/SG/PE/VN/CA/MX/BN,oppose
89,JP,proposal
90,VN,propose
91,NZ/US/AU/CL/PE/SG/CA/JP/MY,propose
92,VN/BN/MX,oppose
93,VN/BN/MX,oppose
94,VN/BN/MX,propose
95,CL/CA/JP/MY,oppose
96,CL/CA/MX/MY,propose
97,JP/MX,propose
98,JP,oppose
99,PE/NZ/MX/CL/BN/AU/US/JP/SG,oppose
100,VN,propose
101,US/PE/MX/SG,propose
102,AU/NZ,none
103,VN/BN/MY/CL/CA,oppose
104,PE/MY/VN/CA/MX,oppose
105,PE/MY/SG/CL/CA/MX/VN,oppose
106,VN,propose
107,AU/US/NZ/SG/MY/CL/PE/CA/JP/BN,oppose
108,BN,oppose
109,US/BN/CL/PE/MX/CA/JP/NZ/SG/VN,propose
110,AU/MY,oppose
111,PE/BN/MX/CA,propose
112,SG/VN,propose
113,CA/SG/VN,oppose
114,CA,oppose
115,US/CA/NZ/SG/JP/AU,propose
116,VN/MX/BN/PE/CL/MY,oppose
117,CL/NZ/SG/VN/PE/MY/BN/AU/CA/MX,propose
118,US/JP,oppose
119,VN/MX,propose
120,PE/SG/CL/AU/NZ/MY/BN/CA,oppose
121,US/VN/JP/MX,propose
122,VN,none
123,VN,propose
124,VN/MX,propose
125,US,propose
126,CL/PE/CA/MX/SG/MY/BN/VN/JP,oppose
127,SG/CA/MY,oppose
128,SG/CA/MY,propose
129,CL/PE/MY/SG/VN/BN/CA/MX,oppose
130,CA,oppose
131,AU,propose
132,MY/VN/SG/MX,oppose
133,BN,oppose
134,US,propose
135,CL/PE/NZ/AU/SG/MY/MX/CA/BN/VN,oppose
136,NZ/AU/BN/US,propose
137,VN/PE/SG/CL/MY/CA/MX,oppose
138,US/NZ/AU/CL/SG,propose
139,MX/VN/PE/MY,oppose
140,CL,oppose
141,NZ/AU/US,propose
142,PE/CL/VN/SG/MY/BN/CA/MX,oppose
143,CL/PE/AU/US/NZ/MX/CA/VN/JP,propose
144,BN,oppose
145,SG/CL/PE/MX/VN,propose
146,CL/PE/MX/CA,oppose
147,NZ/AU/US/VN/BN/CL,propose
148,PE/MY/MX,oppose
149,SG,propose
150,US,propose
151,AU/CL/SG/PE/MY/NZ/BN/VN/MX/CA,oppose
152,CL/SG/BN/VN/MX,propose
153,AU/PE/US/NZ/CA/JP,oppose
154,NZ/CL/VN/MY/BN/SG/MX,propose
155,PE/US/AU,oppose
156,CL,propose
157,AU/US/PE/NZ/VN/SG/MY/BN/MX/CA/JP,oppose
158,CL/SG/BN/MX,propose
159,AU/PE/US/NZ/CA/JP,oppose
160,CL/AU/NZ/SG/BN/VN/MY/PE/CA/MX/JP,propose
161,US,propose
162,CL/PE/VN/MY/CA,oppose
163,US/AU,propose
164,CL/MY/PE/SG/VN/BN/NZ/CA/MX,oppose
165,US/JP,propose
166,CL/MY/PE/SG/VN/BN/AU/NZ/CA/MX,oppose
167,US,none
168,US,propose
169,AU/NZ/VN/BN/CL/PE/MY/SG/CA/MX,oppose
170,NZ/CL/PE/MY/AU/VN/BN/SG/CA/MX,propose
171,NZ/CL/PE/MY/AU/VN/BN/SG/CA/MX,propose
172,JP,oppose
173,US,propose
174,AU/SG/MY/NZ/CL/PE/VN/BN/CA/MX,oppose
175,NZ/CL/PE/MY/AU/VN/BN/SG/CA/MX,propose
176,MX,propose
177,NZ/CA/SG/CL/MY,propose
178,US,none
179,AU/CL/MY/NZ/BN/CA/MX/VN,propose
180,US/JP,oppose
181,VN/CA/MX,propose
182,AU/CL/CA/MX,propose
183,US,oppose
184,NZ/CA/SG/CL/MY,propose
185,NZ/CA/SG/CL/MY,propose
186,NZ/CA/SG/CL/MY,propose
187,NZ/CA/SG/CL/MY,propose
188,US/VN/MX,propose
189,AU/NZ/CL/MY/CA/PE,oppose
190,AU/NZ/PE/BN/CL/CA,propose
191,US/VN/MY/MX/SG,oppose
192,US,none
193,US/AU/PE/VN,propose
194,CL/MY/BN/NZ/CA/SG/MX,oppose
195,US/PE/AU,propose
196,CL/VN/MY/BN/NZ/CA/SG/MX,oppose
197,AU,oppose
198,AU,propose
199,AU,oppose
200,US/AU/MX,propose
201,SG/CL/MY/VN/PE/BN/NZ/CA,oppose
202,US/AU,propose
203,MX,propose
204,MX,propose
205,MX,oppose
206,AU/PE/NZ/MY/CL/VN/US/CA/MX/JP,none
207,US/MX,oppose
208,CA,propose
209,AU/PE/NZ/CL/VN/CA/MX,propose
210,MY,oppose
211,US/AU/CA/SG/PE/CL/NZ/JP,propose
212,MY/BN/VN/MX,oppose
213,US/PE/CA,propose
214,US/SG/PE,propose
215,US/SG/PE,propose
216,US/SG/PE,oppose
217,AU/CA/CL,propose
218,US/SG/PE,propose
219,JP,oppose
220,SG/PE/CL/US/NZ/AU/JP,propose
221,CL,propose
222,US,propose
223,CA/NZ/JP,oppose
224,US/NZ/PE/CA/MX/JP,propose
225,CL/SG/MY/AU/VN/BN,propose
226,US/NZ/PE/AU/MX/VN/BN/JP,propose
227,AU/CA/MX/VN/BN,propose
228,CL/NZ/PE/SG/MY/AU/CA/MX/VN/BN,propose
229,AU/CA/VN/BN,oppose
230,PE,propose
231,US/NZ/PE/SG/MY/MX/JP,propose
232,CL/AU/CA/VN/BN,propose
233,CL/AU/CA/VN/BN,propose
234,US/NZ/PE/SG/MY/MX/JP,propose
235,CA,propose
236,CL/PE/VN/BN,propose
237,PE/VN/BN,propose
238,US/NZ/PE/SG/MY/MX/JP,propose
239,US/NZ/PE/AU/MX/VN/BN/JP,propose
240,AU/CA/MX/VN/BN,propose
241,CL/NZ/PE/SG/MY/AU/CA/MX/VN/BN,propose
242,NZ/SG/MY/AU/CA/MX/CL/VN/BN,propose
243,US/SG/MY/PE/MX/CL,propose
244,NZ/AU/CA/VN/BN,oppose
245,NZ/CA/BN,propose
246,AU/VN,propose
247,US/NZ/PE/AU/MX/VN/BN,propose
248,AU/CA/MX/VN/BN,propose
249,CL/NZ/SG/MY/PE/AU/CA/MX/VN/BN,propose
250,CL/NZ/SG/MY/AU/CA/MX/VN/BN,propose
251,US,propose
252,AU/NZ/CL/PE/MY/SG/BN/VN/CA/MX,oppose
253,US,none
254,US,propose
255,AU/PE/VN/NZ/CL/MY/SG/BN,oppose
256,US,none
257,US,none
258,JP,propose
259,NZ/CA/SG/CL/MY/VN,propose
260,NZ/CA/SG/CL/MY/VN,propose
261,NZ/CA/SG/CL/MY/VN,propose
262,NZ/CA/SG/CL/MY/VN,propose
263,NZ/CA/SG/CL/MY/VN,propose
264,US/SG/PE/MX/JP,propose
265,NZ/VN,oppose
266,AU/CL/MX,oppose
267,CL/MX,propose
268,CL/MX,propose
269,JP,oppose
270,CL/MX,propose
271,AU,oppose
272,AU,propose
273,JP,oppose
274,CL/MX,oppose
275,CL/MX,propose
276,JP,oppose
277,AU,oppose
278,AU,propose
279,CL/MX,oppose
280,AU,oppose
281,AU,propose
282,CL/MX,oppose
283,CL/MX,oppose
284,SG,oppose
285,CL/MX,propose
286,JP,oppose
287,AU,oppose
288,CL/MX,propose
289,AU,propose
290,JP,oppose
291,CL/MX,oppose
292,AU,oppose
293,MX,oppose
294,AU,oppose
295,AU,oppose
296,AU,propose
297,MX,propose
298,CL/MX,propose
299,JP,oppose
300,CL/MX,oppose
301,AU,oppose
302,AU,propose
303,AU,oppose
304,AU,oppose
305,AU,propose
306,AU,oppose
307,AU,propose
308,AU,oppose
309,AU,propose
310,SG,oppose
311,AU,oppose
312,AU,propose
313,AU,oppose
314,AU,propose
315,AU,oppose
316,AU,oppose
317,AU,oppose
318,PE,propose
319,MX,propose
320,CL/MX,oppose
321,AU,oppose
322,AU,propose
323,AU,oppose
324,AU,propose
325,AU,oppose
326,AU,oppose
327,CL,es
328,PE/NZ/MX/SG,none
329,PE/NZ/VN/BN/MX/SG/CL/MY,propose
330,PE/MY/MX/BN,propose
331,NZ/AU/SG/CL,oppose
332,MY/BN,oppose
333,MY/BN,propose
334,PE/NZ/BN/MY/MX/VN,propose
335,AU/SG/CL,oppose
336,MY/BN,propose
337,NZ/CA,oppose
338,NZ/CA,oppose
339,NZ,propose
340,PE/MY,propose
341,NZ/CA,oppose
342,NZ/CA,oppose
343,BN/MY,propose
344,NZ/CA,oppose
345,NZ/CA,oppose
346,PE/NZ/MX/CL/VN,propose
347,SG,oppose
348,NZ/CL/AU/CA,oppose
349,CL,oppose
350,NZ/AU/CA,oppose
351,CL,oppose
352,NZ/AU/CA,oppose
353,PE/NZ/MX/CL,propose
354,SG,oppose
355,CL,oppose
356,NZ/AU/CA,oppose
357,NZ/CL/AU/CA,oppose
358,CL,oppose
359,NZ/AU/CA,oppose
360,CL,oppose
361,NZ/AU/CA,oppose
362,NZ/CL/AU/CA,oppose
363,CL,oppose
364,NZ/AU/CA,oppose
365,PE/NZ/AU/MX/MY/BN/VN/CL,propose
366,SG,oppose
367,AU/MY/BN/VN/CL,oppose
368,AU/MY/BN/VN/CL,propose
369,MY,oppose
370,PE/MX,propose
371,NZ/AU/SG/CL,oppose
372,PE/NZ/MX/SG/MY/BN/VN,propose
373,NZ,oppose
374,NZ,oppose
375,VN/CA/NZ,oppose
376,VN,propose
377,US/AU/PE/NZ/SG/CL/MX,propose
378,VN/MY/BN/JP,oppose
379,NZ/MX,oppose
380,PE,oppose
381,NZ/MX,none
382,PE/AU/NZ/CA/SG/CL/MX/JP,oppose
383,NZ/MX,oppose
384,NZ/MX,oppose
385,US/AU/PE/SG/CL/MX,propose
386,VN/BN/NZ/MY/CA/JP,oppose
387,MX,propose
388,MX,oppose
389,US,propose
390,CL,oppose
391,AU/PE/SG/CL,propose
392,MX,propose
393,US,propose
394,CL,oppose
395,SG/PE/AU/CL,propose
396,US,propose
397,CL,oppose
398,AU/PE/SG/CL,propose
399,NZ/BN/MY/VN/CA/JP,propose
400,US/AU/SG/MX,oppose
401,PE/SG/NZ/BN/US/VN/CL/MY/MX,none
402,CA,oppose
403,CA,propose
404,US,oppose
405,CA/JP/SG/BN/NZ/PE/CL/VN/AU,propose
406,SG/BN/NZ/MY/VN/CL,oppose
407,BN/SG/MY/VN/NZ/CL,oppose
408,CL,none
409,US/AU/SG/PE/MX,propose
410,MY/VN/BN/JP,oppose
411,CL,oppose
412,CL,oppose
413,CL,propose
414,PE/CA/CL,oppose
415,CL,oppose
416,CA/CL,propose
417,CL,oppose
418,PE/SG/CL,oppose
419,CA,oppose
420,CL,propose
421,CA/CL,propose
422,CA/CL,oppose
423,CA,propose
424,CA,oppose
425,CL,oppose
426,CA,propose
427,SG/AU/PE/CL,oppose
428,CL,propose
429,CL,oppose
430,CL,oppose
431,CL,propose
432,CL,oppose
433,CA,oppose
434,CA,propose
435,CA,oppose
436,CL,oppose
437,CL,propose
438,CL,oppose
439,CA,propose
440,CA,oppose
441,CA,propose
442,CA,oppose
443,CA,propose
444,CA,propose
445,CA,propose
446,CA,oppose
447,SG,oppose
448,SG,oppose
449,CL,propose
450,PE,oppose
451,PE,propose
452,CL,propose
453,SG,oppose
454,AU/PE,oppose
455,SG,propose
456,AU/PE,propose
457,CA,propose
458,CL,oppose
459,CL,oppose
460,CL,propose
461,CA,propose
462,PE/CL/CA,oppose
463,CA,oppose
464,CA,propose
465,CL,propose
466,SG/CL,propose
467,CL/NZ/PE/VN/MY/BN/JP,propose
468,AU/US,oppose
469,PE/SG,oppose
470,VN,propose
471,VN,oppose
472,NZ,oppose
473,NZ,oppose
474,PE/SG,none
475,VN,oppose
476,VN,none
477,VN,oppose
478,VN,none
479,CA,oppose
480,CA,propose
481,VN,oppose
482,VN,none
483,CA/JP,propose
484,MY/BN/VN/CA/JP,oppose
485,CA,propose
486,CL/NZ/MY/SG/VN,oppose
487,CA/JP,propose
488,VN,oppose
489,VN,none
490,VN,oppose
491,CA/MX/JP,propose
492,CA/MX,oppose
493,CA,propose
494,MY,none
495,MY/CA,oppose
496,CL,oppose
497,CA,propose
498,CL,none
499,CA,oppose
500,CA,propose
501,MY/CA,propose
502,AU/SG/PE/CL/MY/NZ/BN/CA/MX/JP,oppose
503,SG/NZ/CL/MY/BN/VN/CA/JP,oppose
504,MX,propose
505,MX,oppose
506,AU/MY/CA/JP,propose
507,NZ/MY,oppose
508,NZ/MY,oppose
509,NZ/MY,oppose
510,AU/MY/CA/JP,none
511,NZ/MY,oppose
512,AU/MY/CA/JP,none
513,CA,propose
514,NZ/MY,oppose
515,NZ/MY,oppose
516,NZ/BN/MY,oppose
517,NZ/BN/MY,oppose
518,NZ/BN/MY,oppose
519,NZ/BN/MY,oppose
520,US/AU/PE/NZ/MY/BN/VN/CL/MX/SG,propose
521,CA,oppose
522,NZ,oppose
523,BN,oppose
524,NZ,oppose
525,NZ,oppose
526,US/CL/PE/MX/SG/MY/NZ/AU/VN/BN,propose
527,SG/VN/BN,oppose
528,CL/PE/MX,oppose
529,US/AU/SG/CL/PE/VN/MY,propose
530,CL/PE,oppose
531,CA,propose
532,CA,propose
533,VN,propose
534,CL/MY,propose
535,CL,propose
536,US/MY/SG/CA/PE/BN/MX/VN,propose
537,CL/NZ/MY,propose
538,CL/NZ/SG/MY/BN/VN/PE/MX,propose
539,AU/US,oppose
540,CA,propose
541,CL/SG/CA/BN/PE/MX/VN,propose
542,CL/VN/PE/AU/MY/BN/NZ/SG/MX/CA,propose
543,US/SG,propose
544,BN/VN/PE/MY/NZ/MX/CA,oppose
545,US/CA,propose
546,CL/VN/BN/AU/MX/CA/SG/PE/NZ,propose
547,CA,oppose
548,CA,propose
549,US/BN/MY/NZ/SG/CA,propose
550,AU/PE/CL/VN/MX,oppose
551,BN/MY,oppose
552,BN/SG/MY,oppose
553,SG/BN/MY/CA,propose
554,MY,oppose
555,MY/CA,propose
556,VN/SG/BN/MY/CA,oppose
557,US/AU/PE/NZ/CL/MX/CA/JP/SG/BN/VN,propose
558,MY,propose
559,PE,oppose
560,SG/PE/AU/NZ/MY/CL/CA/MX/BN/VN,oppose
561,US/CA/BN/AU/JP/MX/NZ/PE/VN,propose
562,VN,propose
563,CL/PE/BN/VN,propose
564,US/NZ,oppose
565,US,propose
566,NZ/MY/BN/JP,propose
567,VN,oppose
568,CL,e
569,US,propose
570,SG/PE/VN/CA/CL/NZ/MY/BN/AU/MX/JP,oppose
571,PE,oppose
572,CA,propose
573,PE,propose
574,CA/MX/US,propose
575,CA/MX/US,oppose
576,VN,propose
577,VN,propose
578,VN,propose
579,VN,none
580,VN,propose
581,MX,oppose
582,US/AU/SG,propose
583,BN/VN/MX/JP,oppose
584,US/SG,propose
585,NZ/AU/MY,oppose
586,AU/NZ/PE,propose
587,NZ,propose
588,US/AU/SG/NZ/MY/CL/CA,propose
589,US,propose
590,AU/SG/NZ/MY/CL/CA,propose
591,MY,oppose
592,CA,propose
593,CA,oppose
594,MY,oppose
595,NZ/CA/SG/CL/MY,propose
596,VN/PE,none
597,SG/BN/MY/VN/CA,oppose
598,CA/NZ/MX/US/PE/AU,oppose
599,CA/NZ/MX/US/PE/AU,propose
600,SG/VN,oppose
601,SG/VN,propose
602,US/CA/JP/MX,propose
603,CL/SG/VN,oppose
604,US/AU/CA/JP/NZ,propose
605,MX,none
606,PE/CL/MY/SG/VN/BN,oppose
607,NZ,oppose
608,NZ,propose
609,NZ,propose
610,BN/SG/MY/VN/CA,oppose
611,CA/VN,propose
612,MY/CA/BN/PE/VN,oppose
613,MY/CA/PE,none
614,BN/SG/VN,propose
615,US/VN,propose
616,SG/VN,oppose
617,SG/VN,propose
618,US/PE/AU/SG/MY/CL/CA/BN/JP,propose
619,NZ/VN/MX,oppose
620,AU,propose
621,MY/CL/AU/PE/BN,oppose
622,CL/AU/PE,propose
623,SG,oppose
624,AU/MY/SG/CA/BN/CL,oppose
625,PE,oppose
626,PE/SG/MY/CL/CA/BN,oppose
627,AU,oppose
628,US,propose
629,US,oppose
630,SG/PE/MY/CA/BN,oppose
631,VN,propose
632,VN,oppose
633,VN,propose
634,US/AU/SG/PE,propose
635,CL/VN/MY/NZ/CA/BN/MX,oppose
