countries,decision
AU,thorized
NZ/CL/PE/VN/BN/MY/SG/CA/MX,propose
US/JP,oppose
PE,none
NZ/CA/SG/CL/MY/VN,propose
NZ/CA/SG/CL/MY,propose
US,oppose
SG/BN/VN/PE/CL/CA/MY/NZ/US/AU/MX/JP,none
US/MY,propose
US,oppose
US,propose
US,oppose
US,oppose
US,propose
US,oppose
US,none
CL/PE,none
MX,propose
CA,propose
CL/NZ,propose
US/AU/JP/MX,oppose
CA,propose
MX/US,oppose
CL/NZ/VN/BN/MY/PE,none
US/AU,propose
CL/NZ/MY/PE/BN/VN/CA/JP/MX,oppose
MX,propose
US/AU/NZ/PE/CA/JP/SG/MX,propose
US/SG,propose
CL/MY/NZ/PE/VN/BN/CA/JP/MX,oppose
SG,oppose
NZ/BN/MY/CA/JP/SG/VN,oppose
NZ/VN/BN/MY/CL/PE/JP/SG,propose
US/AU,oppose
CL/AU/NZ/BN/PE,propose
VN,none
CL,none
US,none
PE/CL,none
VN,none
CL/NZ/VN/AU/BN/SG/PE/MY/MX/CA,propose
US/JP,oppose
PE,propose
CL/AU,oppose
NZ/AU/US/SG/MY/PE/VN/JP/MX,propose
US,none
VN,none
US,none
US,oppose
US/PE,oppose
US/PE,none
US/AU/NZ,none
AU,oppose
AU,none
US/AU/NZ,oppose
NZ/AU/SG/MY/CA/MX/CL,propose
VN/PE,oppose
AU/NZ,none
JP,oppose
US/MX,propose
BN,oppose
PE,oppose
US,propose
CL/NZ/PE/MY/BN/VN/CA/MX,oppose
CL/MY/NZ/VN/SG/BN/PE,propose
US/AU/JP/MX,oppose
CL/VN/PE,propose
CL,none
VN,none
CL/VN,propose
CL/VN,alternative
NZ/CL/SG/VN/MY/BN/MX,propose
NZ/CL/SG/BN/AU/MY/PE/VN/MX,propose
AU/US,oppose
AU/CA/JP/SG,none
PE/CA,oppose
JP/SG/PE,propose
AU,none
AU/CL/NZ/PE/SG/BN/MX/VN/MY/US/CA,propose
PE,propose
AU/NZ,oppose
AU/CL/MY/NZ/SG/PE/VN/CA/MX/BN/JP,propose
US/SG,propose
US,oppose
AU/CL/MY/NZ/SG/PE/VN/CA/MX/BN/JP,oppose
AU/CL/MY/NZ/SG/PE/VN/CA/MX/BN/JP,propose
JP,propose
CL/PE,oppose
CL/AU/MY/NZ/SG/PE/VN/CA/MX/BN,oppose
JP,proposal
VN,propose
NZ/US/AU/CL/PE/SG/CA/JP/MY,propose
VN/BN/MX,oppose
VN/BN/MX,oppose
VN/BN/MX,propose
CL/CA/JP/MY,oppose
CL/CA/MX/MY,propose
JP/MX,propose
JP,oppose
PE/NZ/MX/CL/BN/AU/US/JP/SG,oppose
VN,propose
US/PE/MX/SG,propose
AU/NZ,none
VN/BN/MY/CL/CA,oppose
PE/MY/VN/CA/MX,oppose
PE/MY/SG/CL/CA/MX/VN,oppose
VN,propose
AU/US/NZ/SG/MY/CL/PE/CA/JP/BN,oppose
BN,oppose
US/BN/CL/PE/MX/CA/JP/NZ/SG/VN,propose
AU/MY,oppose
PE/BN/MX/CA,propose
SG/VN,propose
CA/SG/VN,oppose
CA,oppose
US/CA/NZ/SG/JP/AU,propose
VN/MX/BN/PE/CL/MY,oppose
CL/NZ/SG/VN/PE/MY/BN/AU/CA/MX,propose
US/JP,oppose
VN/MX,propose
PE/SG/CL/AU/NZ/MY/BN/CA,oppose
US/VN/JP/MX,propose
VN,none
VN,propose
VN/MX,propose
US,propose
CL/PE/CA/MX/SG/MY/BN/VN/JP,oppose
SG/CA/MY,oppose
SG/CA/MY,propose
CL/PE/MY/SG/VN/BN/CA/MX,oppose
CA,oppose
AU,propose
MY/VN/SG/MX,oppose
BN,oppose
US,propose
CL/PE/NZ/AU/SG/MY/MX/CA/BN/VN,oppose
NZ/AU/BN/US,propose
VN/PE/SG/CL/MY/CA/MX,oppose
US/NZ/AU/CL/SG,propose
MX/VN/PE/MY,oppose
CL,oppose
NZ/AU/US,propose
PE/CL/VN/SG/MY/BN/CA/MX,oppose
CL/PE/AU/US/NZ/MX/CA/VN/JP,propose
BN,oppose
SG/CL/PE/MX/VN,propose
CL/PE/MX/CA,oppose
NZ/AU/US/VN/BN/CL,propose
PE/MY/MX,oppose
SG,propose
US,propose
AU/CL/SG/PE/MY/NZ/BN/VN/MX/CA,oppose
CL/SG/BN/VN/MX,propose
AU/PE/US/NZ/CA/JP,oppose
NZ/CL/VN/MY/BN/SG/MX,propose
PE/US/AU,oppose
CL,propose
AU/US/PE/NZ/VN/SG/MY/BN/MX/CA/JP,oppose
CL/SG/BN/MX,propose
AU/PE/US/NZ/CA/JP,oppose
CL/AU/NZ/SG/BN/VN/MY/PE/CA/MX/JP,propose
US,propose
CL/PE/VN/MY/CA,oppose
US/AU,propose
CL/MY/PE/SG/VN/BN/NZ/CA/MX,oppose
US/JP,propose
CL/MY/PE/SG/VN/BN/AU/NZ/CA/MX,oppose
US,none
US,propose
AU/NZ/VN/BN/CL/PE/MY/SG/CA/MX,oppose
NZ/CL/PE/MY/AU/VN/BN/SG/CA/MX,propose
NZ/CL/PE/MY/AU/VN/BN/SG/CA/MX,propose
JP,oppose
US,propose
AU/SG/MY/NZ/CL/PE/VN/BN/CA/MX,oppose
NZ/CL/PE/MY/AU/VN/BN/SG/CA/MX,propose
MX,propose
NZ/CA/SG/CL/MY,propose
US,none
AU/CL/MY/NZ/BN/CA/MX/VN,propose
US/JP,oppose
CA/MX,propose
AU/CL/CA/MX,propose
US,oppose
NZ/CA/SG/CL/MY,propose
NZ/CA/SG/CL/MY,propose
NZ/CA/SG/CL/MY,propose
NZ/CA/SG/CL/MY,propose
US/VN/MX,propose
AU/NZ/CL/MY/CA/PE,oppose
AU/NZ/PE/BN/CL/CA,propose
US/VN/MY/MX/SG,oppose
US,none
US/AU/PE/VN,propose
CL/MY/BN/NZ/CA/SG/MX,oppose
US/PE/AU,propose
CL/VN/MY/BN/NZ/CA/SG/MX,oppose
AU,oppose
AU,propose
AU,oppose
US/AU/MX,propose
SG/CL/MY/VN/PE/BN/NZ/CA,oppose
US/AU,propose
MX,propose
MX,propose
MX,oppose
AU/PE/NZ/MY/CL/VN/US/CA/MX/JP,none
US/MX,oppose
CA,propose
AU/PE/NZ/CL/VN/CA/MX,propose
MY,oppose
US/AU/CA/SG/PE/CL/NZ/JP,propose
MY/BN/VN/MX,oppose
US/PE/CA,propose
US/SG/PE,propose
US/SG/PE,propose
US/SG/PE,oppose
AU/CA/CL,propose
US/SG/PE,propose
JP,oppose
SG/PE/CL/US/NZ/AU/JP,propose
CL,propose
US,propose
CA/NZ/JP,oppose
US/NZ/PE/CA/MX/JP,propose
CL/SG/MY/AU/VN/BN,propose
US/NZ/PE/AU/MX/VN/BN/JP,propose
AU/CA/MX/VN/BN,propose
CL/NZ/PE/SG/MY/AU/CA/MX/VN/BN,propose
AU/CA/VN/BN,oppose
PE,propose
US/NZ/PE/SG/MY/MX/JP,propose
CL/AU/CA/VN/BN,propose
CL/AU/CA/VN/BN,propose
US/NZ/PE/SG/MY/MX/JP,propose
CA,propose
CL/PE/VN/BN,propose
PE/VN/BN,propose
US/NZ/PE/SG/MY/MX/JP,propose
US/NZ/PE/AU/MX/VN/BN/JP,propose
AU/CA/MX/VN/BN,propose
CL/NZ/PE/SG/MY/AU/CA/MX/VN/BN,propose
NZ/SG/MY/AU/CA/MX/CL/VN/BN,propose
US/SG/MY/PE/MX/CL,propose
NZ/AU/CA/VN/BN,oppose
NZ/CA/BN,propose
AU/VN,propose
US/NZ/PE/AU/MX/VN/BN,propose
AU/CA/MX/VN/BN,propose
CL/NZ/SG/MY/PE/AU/CA/MX/VN/BN,propose
CL/NZ/SG/MY/AU/CA/MX/VN/BN,propose
US,propose
AU/NZ/CL/PE/MY/SG/BN/VN/CA/MX,oppose
US,none
US,propose
AU/PE/VN/NZ/CL/MY/SG/BN,oppose
US,none
US,none
JP,propose
NZ/CA/SG/CL/MY/VN,propose
NZ/CA/SG/CL/MY/VN,propose
NZ/CA/SG/CL/MY/VN,propose
NZ/CA/SG/CL/MY/VN,propose
